"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2020-09-27","96.7","-2.20","5.92","Blake Cederlind",596019,664977,"field_out","hit_into_play",,,,,"8","Francisco Lindor grounds out sharply, second baseman Adam Frazier to first baseman Josh Bell.  ","R","L","R","CLE","PIT","X",4,"ground_ball",2,1,2020,"-1.44","0.50","0.10","1.84","null","null","null",2,8,"Bot","152.61","137.36",,,"572180",,"null",9.491946271883144,-140.5550877321875,-6.6019345968165215,-21.127023658122276,28.279393750585598,-24.24417482655866,"3.25","1.50","6","100.5","-20","98.1","1991","6.9",631538,664977,"572180","605137","624428","663647","570481","595375","668804","591741","53.62","0.114","0.103","0.00",1,0,0,2,74,"4","Sinker",8,6,8,6,6,8,8,6,"Standard","Standard"
"SI","2020-09-27","97.1","-2.20","5.99","Blake Cederlind",596019,664977,"null","called_strike",,,,,"3","null","R","L","R","CLE","PIT","S","null","null",2,0,2020,"-1.48","0.59","0.58","2.71","null","null","null",2,8,"Bot","null","null",,,"572180",,"null",10.912666110217634,-141.08971515628627,-4.638906506983043,-22.1920709419945,29.398472369912955,-23.451059560782657,"3.16","1.50","null","null","null","98.3","1986","6.9",631538,664977,"572180","605137","624428","663647","570481","595375","668804","591741","53.65","null","null","null","null","null","null","null",74,"3","Sinker",8,6,8,6,6,8,8,6,"Standard","Standard"
"SI","2020-09-27","97.3","-2.34","5.94","Blake Cederlind",596019,664977,"null","ball",,,,,"12","null","R","L","R","CLE","PIT","B","null","null",1,0,2020,"-1.52","0.63","1.01","2.58","null","null","null",2,8,"Bot","null","null",,,"572180",,"null",12.56510197557458,-141.24548034104527,-5.01281915947462,-23.0239015180079,28.8329539206594,-22.79210386359905,"3.15","1.42","null","null","null","98.4","2081","6.8",631538,664977,"572180","605137","624428","663647","570481","595375","668804","591741","53.71","null","null","null","null","null","null","null",74,"2","Sinker",8,6,8,6,6,8,8,6,"Standard","Standard"
"FC","2020-09-27","87.7","-2.14","5.85","Blake Cederlind",596019,664977,"null","ball",,,,,"14","null","R","L","R","CLE","PIT","B","null","null",0,0,2020,"0.29","0.09","1.26","1.65","null","null","null",2,8,"Bot","null","null",,,"572180",,"null",7.721445307215459,-127.73511497748801,-4.419747542955862,2.011164341264856,20.58544835012326,-30.564147714018365,"3.25","1.52","null","null","null","89.6","2443","7.0",631538,664977,"572180","605137","624428","663647","570481","595375","668804","591741","53.55","null","null","null","null","null","null","null",74,"1","Cutter",8,6,8,6,6,8,8,6,"Standard","Standard"
"SI","2020-09-27","98.0","-2.19","5.94","Blake Cederlind",640458,664977,"field_out","hit_into_play",,,,,"2","Oscar Mercado lines out to left fielder JT Riddle.  ","R","R","R","CLE","PIT","X",7,"line_drive",1,0,2020,"-1.38","0.55","-0.17","3.25","null","null","null",1,8,"Bot","81.95","78.99",,,"572180",,"null",8.743094088609801,-142.50447677828714,-3.1082966541652572,-20.823456302095085,31.451586814296398,-24.160005490694886,"3.41","1.61","304","84.1","22","99.3","2081","6.9",631538,664977,"572180","605137","624428","663647","570481","595375","668804","591741","53.56","0.507","0.456","0.00",1,0,0,3,73,"2","Sinker",8,6,8,6,6,8,8,6,"Standard","Standard"
"FC","2020-09-27","88.7","-2.34","5.84","Blake Cederlind",640458,664977,"null","ball",,,,,"11","null","R","R","R","CLE","PIT","B","null","null",0,0,2020,"0.54","0.29","-1.82","4.77","null","null","null",1,8,"Bot","null","null",,,"572180",,"null",0.14864585538936406,-129.2814787284186,2.75375701769521,6.087679404991638,22.399683251248177,-29.561577945500037,"3.76","1.77","null","null","null","89.9","2262","6.5",631538,664977,"572180","605137","624428","663647","570481","595375","668804","591741","53.95","null","null","null","null","null","null","null",73,"1","Cutter",8,6,8,6,6,8,8,6,"Standard","Standard"
"FC","2020-09-27","90.2","-2.45","5.80","Blake Cederlind",547379,664977,"strikeout","called_strike",,,,,"9","Roberto Perez called out on strikes.  ","R","R","R","CLE","PIT","S",2,"null",2,2,2020,"0.17","0.47","0.34","1.86","null","null","null",0,8,"Bot","null","null",,,"572180",,"null",6.633017249344171,-131.32364711666793,-4.9661796616070415,0.7972647318381595,23.79366037712965,-25.973832860124922,"3.33","1.55","null","null","null","91.6","2182","6.8",631538,664977,"572180","605137","624428","663647","570481","595375","668804","591741","53.70","null","null","0.00",1,0,0,"null",72,"7","Cutter",8,6,8,6,6,8,8,6,"Standard","Strategic"
"FC","2020-09-27","89.1","-2.24","5.83","Blake Cederlind",547379,664977,"null","ball",,,,,"12","null","R","R","R","CLE","PIT","B","null","null",1,2,2020,"0.21","0.36","1.12","2.46","null","null","null",0,8,"Bot","null","null",,,"572180",,"null",7.898952649547614,-129.7284532978698,-3.128978074235784,1.0459338648211107,22.92845465097567,-27.680173511558788,"3.27","1.52","null","null","null","90.7","2233","6.9",631538,664977,"572180","605137","624428","663647","570481","595375","668804","591741","53.61","null","null","null","null","null","null","null",72,"6","Cutter",8,6,8,6,6,8,8,6,"Standard","Strategic"
"SI","2020-09-27","97.8","-2.23","5.96","Blake Cederlind",547379,664977,"null","foul",,,,,"2","null","R","R","R","CLE","PIT","S","null","null",1,2,2020,"-1.41","0.51","-0.25","2.98","null","null","null",0,8,"Bot","null","null",,,"572180",,"null",8.632461288076836,-142.242051434554,-3.7551609176064638,-21.049605066509166,30.577789905432017,-24.598404146977483,"3.27","1.49","265","78.6","37","98.8","2181","6.7",631538,664977,"572180","605137","624428","663647","570481","595375","668804","591741","53.78","null","null","null","null","null","null","null",72,"5","Sinker",8,6,8,6,6,8,8,6,"Standard","Strategic"
"FC","2020-09-27","89.8","-2.35","5.76","Blake Cederlind",547379,664977,"null","foul",,,,,"8","null","R","R","R","CLE","PIT","S","null","null",1,2,2020,"0.12","0.54","0.10","1.99","null","null","null",0,8,"Bot","null","null",,,"572180",,"null",5.886210308081015,-130.83525689122135,-4.656481413027817,0.4119966003307426,22.382222638210074,-25.250703886311573,"3.27","1.49","173","64.7","31","91.4","2285","6.8",631538,664977,"572180","605137","624428","663647","570481","595375","668804","591741","53.71","null","null","null","null","null","null","null",72,"4","Cutter",8,6,8,6,6,8,8,6,"Standard","Strategic"
